FkIdObec,FkIdPodtypSkoly,FkIdTypZriadovatela,FkIdSkRok,PocetSkol,PocetZiakov,PocetTried,PocetUcitelov
3,12,1,21,0,0,0,0
3,12,1,20,0,0,0,0
3,12,1,19,0,0,0,0
3,12,1,18,0,0,0,0
3,12,1,17,0,0,0,0
3,12,1,16,0,0,0,0
3,12,1,15,0,0,0,0
3,12,1,14,0,0,0,0
3,12,1,13,0,0,0,0
3,12,1,12,0,0,0,0
3,12,1,11,0,0,0,0
3,12,1,10,0,0,0,0
3,12,1,9,0,0,0,0
3,12,1,8,0,0,0,0
3,12,1,7,0,0,0,0
3,12,1,6,0,0,0,0
3,12,1,5,0,0,0,0
3,12,1,4,0,0,0,0
3,12,1,3,0,0,0,0
3,12,1,2,0,0,0,0
3,12,1,1,0,0,0,0
5,12,1,28,1,114,9,14
5,12,1,27,1,112,9,13
5,12,1,26,1,115,9,14
5,12,1,25,1,124,9,13
5,12,1,24,1,118,9,11
5,12,1,23,1,115,9,13
5,12,1,22,1,118,9,13
5,12,1,21,1,120,9,12
5,12,1,20,1,120,9,12
5,12,1,19,1,113,9,12
5,12,1,18,1,121,9,12
5,12,1,17,1,115,9,13
5,12,1,16,1,108,9,11
5,12,1,15,1,112,9,13
5,12,1,14,1,116,9,13
5,12,1,13,1,124,9,13
5,12,1,12,1,133,9,13
5,12,1,11,1,144,9,13
5,12,1,10,1,169,9,12
5,12,1,9,1,171,9,12
5,12,1,8,1,176,9,15
5,12,1,7,1,199,10,16
5,12,1,6,1,214,11,16
5,12,1,5,1,231,10,15
5,12,1,4,1,241,11,18
5,12,1,3,1,259,12,16
5,12,1,2,1,247,12,16
5,12,1,1,1,283,12,18
6,12,1,28,0,0,0,0
6,12,1,27,0,0,0,0
6,12,1,26,0,0,0,0
6,12,1,25,0,0,0,0
6,12,1,24,0,0,0,0
6,12,1,23,0,0,0,0
6,12,1,22,0,0,0,0
6,12,1,21,0,0,0,0
6,12,1,20,0,0,0,0
6,12,1,19,0,0,0,0
6,12,1,18,0,0,0,0
6,12,1,17,0,0,0,0
6,12,1,16,0,0,0,0
6,12,1,15,0,0,0,0
6,12,1,14,0,0,0,0
6,12,1,13,0,0,0,0
6,12,1,12,0,0,0,0
6,12,1,11,0,0,0,0
6,12,1,10,0,0,0,0
6,12,1,9,0,0,0,0
6,12,1,8,0,0,0,0
6,12,1,7,0,0,0,0
6,12,1,6,0,0,0,0
6,12,1,5,0,0,0,0
6,12,1,4,0,0,0,0
6,12,1,3,0,0,0,0
6,12,1,2,0,0,0,0
6,12,1,1,0,0,0,0
7,12,1,28,0,0,0,0
7,12,1,27,0,0,0,0
7,12,1,26,0,0,0,0
7,12,1,25,0,0,0,0
7,12,1,24,0,0,0,0
7,12,1,23,0,0,0,0
7,12,1,22,0,0,0,0
